simple_sku,product_name,sale_price,discounted_price,Category lv2,Category lv3,picture_url,image_url_2,image_url_3,image_url_4,image_url_5,brand
2G003ELAA1BIUHVNAMZ-2032876,Loa máy tính 2.1 2GOOD 135UBT (Đen),1850000,1200000,Computer Accessories,Speakers,http://static.lazada.vn/p/2/image-7527122-d89b111a715fa36f41d84cc2872c984f-product.jpg,http://static.lazada.vn/p/2/image-7527122-adb86d79bac2bd1d9e3a2bb1f3f9d9db-product.jpg,http://static.lazada.vn/p/2/image-7527122-aeae8e3b9555869dfa878ce8fd4e5a63-product.jpg,http://static.lazada.vn/p/2/image-7527122-65dfc4b25d55d60aa8443159c4e1a8cd-product.jpg,http://static.lazada.vn/p/2/image-7527122-afdceba8f4677087b4e009f2da012ec5-product.jpg,2GOOD
2G003ELAA1BIV1VNAMZ-2032896,Loa máy tính 2.1 2GOOD 118UBT (Đen),1150000,950000,Computer Accessories,Speakers,http://static.lazada.vn/p/2/image-7727122-866f2b3692a48b71ad3d5af3d11e0e72-product.jpg,http://static.lazada.vn/p/2/image-7727122-bb4255481a65ce3b00c588ba0cd52814-product.jpg,http://static.lazada.vn/p/2/image-7727122-9290fc0b793b22b47408c95a54b04b6c-product.jpg,http://static.lazada.vn/p/2/image-7727122-41db421b4e2d8a5f7da1406083c5b570-product.jpg,http://static.lazada.vn/p/2/image-7727122-50ba8eab24369627370c1c6bde7fe762-product.jpg,2GOOD
2G003ELAA1BIW7VNAMZ-2032938,Chuột quang 2GOOD G6 (Xám),160000,90000,Computer Accessories,Mice,http://static.lazada.vn/p/2/image-9137122-b755c4f132a299040ba3ed1396e9e8ff-product.jpg,http://static.lazada.vn/p/2/image-9137122-93a2ebbc9b8fef5e705cec14c956ddd6-product.jpg,,,,2GOOD
2G003ELAA1BJ1ZVNAMZ-2033158,Chuột có dây 2GOOD G11 (Đen),160000,115000,Computer Accessories,Mice,http://static.lazada.vn/p/2/image-7257122-9f2d92cfa0a17bcf2339ad68c356b3f0-product.jpg,http://static.lazada.vn/p/2/image-7257122-4d3c8fd490f08e4f814787810a8f5b85-product.jpg,http://static.lazada.vn/p/2/image-7257122-5c37950e7969a691172a4864a15c8ad6-product.jpg,http://static.lazada.vn/p/2/image-7257122-029a79a6c1b52d6b43e048bb2971a343-product.jpg,http://static.lazada.vn/p/2/image-7257122-2df61ea7fa1aeb2f583f8e0a238c64be-product.jpg,2GOOD
2G003ELAA1BJ25VNAMZ-2033164,Chuột quang có dây 2GOOD G5 (Đen phối xám),130000,65000,Computer Accessories,Mice,http://static.lazada.vn/p/2/image-3357122-907521480ff4f78e48ca1496ce4197b1-product.jpg,http://static.lazada.vn/p/2/image-3357122-00a762b7d9663d727b1cc8bd029f79ab-product.jpg,http://static.lazada.vn/p/2/image-3357122-7637eacdde84698aafb4d91b5e19302a-product.jpg,http://static.lazada.vn/p/2/image-3357122-d8858bd31a917220bc08e56c97d8c3e9-product.jpg,http://static.lazada.vn/p/2/image-3357122-8f96878b06ee5e20654def489330ff10-product.jpg,2GOOD
2G003ELAA1BQA8VNAMZ-2047592,Loa máy tính 2.1 2GOOD 136UBT (Nâu vân gỗ),2200000,1450000,Computer Accessories,Speakers,http://static.lazada.vn/p/2/image-6986222-1fcfbe2d4ce6ec6b773f523af24b2996-product.jpg,http://static.lazada.vn/p/2/image-6986222-43ae526cf4e854ffb0193fadf6d65ccb-product.jpg,http://static.lazada.vn/p/2/image-6986222-b57714a353d9f8ec51eddc39e52460a9-product.jpg,http://static.lazada.vn/p/2/image-6986222-9a7644f03d9dff9e090693eb5dc88c81-product.jpg,http://static.lazada.vn/p/2/image-6986222-f40efba39f5206c6b37236e4d25ecd64-product.jpg,2GOOD
2G003ELAA1BQABVNAMZ-2047597,Loa máy tính 2.1 2GOOD 220UBT (Đen phối đỏ),2350000,1550000,Computer Accessories,Speakers,http://static.lazada.vn/p/2/image-9986222-8800e451a19baa3a8ccdd092fea5bb2b-product.jpg,http://static.lazada.vn/p/2/image-9986222-b2e5e8203dfb6c1329cf4d3476249504-product.jpg,http://static.lazada.vn/p/2/image-9986222-eada5ae162e4b23ebca4738c2bf4949a-product.jpg,http://static.lazada.vn/p/2/image-9986222-ebd52f651f265c42cc111ebeaf7bab61-product.jpg,,2GOOD
2G003ELAA1GPVXVNAMZ-2336961,Loa máy tính 2GOOD K12 (Đen),210000,110000,Computer Accessories,Speakers,http://static.lazada.vn/p/2/image-1669542-44c92a4a8e0604b4b2561cfa7510851f-product.jpg,http://static.lazada.vn/p/2/image-1669542-dc26d44295496119e93119dce231de8f-product.jpg,http://static.lazada.vn/p/2/image-1669542-597c0514d86689c8705d6617cab41aa2-product.jpg,http://static.lazada.vn/p/2/image-1669542-e4c18084eb4fb60101bba94fd38790b6-product.jpg,,2GOOD
2G003ELAA1GPW2VNAMZ-2336966,Loa máy tính 2GOOD K12 (Đen),190000,130000,Computer Accessories,Speakers,http://static.lazada.vn/p/2/image-6669542-44c92a4a8e0604b4b2561cfa7510851f-product.jpg,http://static.lazada.vn/p/2/image-6669542-dc26d44295496119e93119dce231de8f-product.jpg,http://static.lazada.vn/p/2/image-6669542-99a5e4c06d4a3dee776e1d60afb3890f-product.jpg,http://static.lazada.vn/p/2/image-6669542-e4c18084eb4fb60101bba94fd38790b6-product.jpg,,2GOOD
2G003ELAA1KLVPVNAMZ-2569718,Loa máy tính 2.0 EVO 688 (Trắng),310000,190000,Computer Accessories,Speakers,http://static.lazada.vn/p/2/image-3901462-8905ebf3627326a15ecb05cb6a5072c3-product.jpg,,,,,2GOOD
2G003ELAA1KLVQVNAMZ-2569719,Loa máy tính 2.0 EVO 688 (Trắng),310000,190000,Computer Accessories,Speakers,http://static.lazada.vn/p/2/image-4901462-8905ebf3627326a15ecb05cb6a5072c3-product.jpg,,,,,2GOOD
2G003ELAA1SDM8VNAMZ-3001621,Loa 2.1 2GOOD 136UBT,2200000,1450000,Computer Accessories,Speakers,http://static.lazada.vn/p/2/image-2363003-19f8dd074ddcfdd8d5e8d095d8f830cb-product.jpg,http://static.lazada.vn/p/2/image-2363003-280c1e66027b62064960587fd27faeb0-product.jpg,http://static.lazada.vn/p/2/image-2363003-b6721920c366f99f198d87a5b4fc3e89-product.jpg,http://static.lazada.vn/p/2/image-2363003-0b95d7a4277a306ea3819e6c78b794d7-product.jpg,,2GOOD
